UF;Município;Cargo / Esfera Partidária;Limite de Gastos 1° Turno;Limite de Gastos 2° Turno;Quantidade Limite de Contratação;Eleitorado Apto
MT;NORTELÂNDIA;Prefeito;108039.06;0;44;4413
MT;NORTELÂNDIA;Vereador;10803.91;0;22;4413
MT;NOSSA SENHORA DO LIVRAMENTO;Prefeito;108039.06;0;115;11492
MT;NOSSA SENHORA DO LIVRAMENTO;Vereador;18702.51;0;58;11492
MT;NOVA BANDEIRANTES;Prefeito;108039.06;0;92;9180
MT;NOVA BANDEIRANTES;Vereador;10803.91;0;46;9180
MT;NOVA BRASILÂNDIA;Prefeito;108039.06;0;32;3206
MT;NOVA BRASILÂNDIA;Vereador;10803.91;0;16;3206
MT;NOVA CANAÃ DO NORTE;Prefeito;108039.06;0;100;10039
MT;NOVA CANAÃ DO NORTE;Vereador;20041.62;0;50;10039
MT;NOVA GUARITA;Prefeito;108039.06;0;38;3763
MT;NOVA GUARITA;Vereador;10803.91;0;19;3763
MT;NOVA LACERDA;Prefeito;275918.41;0;47;4716
MT;NOVA LACERDA;Vereador;492846.79;0;24;4716
MT;NOVA MARILÂNDIA;Prefeito;108039.06;0;27;2711
MT;NOVA MARILÂNDIA;Vereador;10803.91;0;14;2711
MT;NOVA MARINGÁ;Prefeito;157793.73;0;42;4163
MT;NOVA MARINGÁ;Vereador;10803.91;0;21;4163
MT;NOVA MONTE VERDE;Prefeito;108039.06;0;57;5746
MT;NOVA MONTE VERDE;Vereador;10803.91;0;29;5746
MT;NOVA MUTUM;Prefeito;721274.7;0;239;23942
MT;NOVA MUTUM;Vereador;38394.91;0;120;23942
MT;NOVA NAZARÉ;Prefeito;108039.06;0;23;2320
MT;NOVA NAZARÉ;Vereador;14072.55;0;12;2320
MT;NOVA OLÍMPIA;Prefeito;246627.1;0;124;12444
MT;NOVA OLÍMPIA;Vereador;18897.29;0;62;12444
MT;NOVA SANTA HELENA;Prefeito;108039.06;0;35;3459
MT;NOVA SANTA HELENA;Vereador;27850.98;0;18;3459
MT;NOVA UBIRATÃ;Prefeito;150458.65;0;64;6418
MT;NOVA UBIRATÃ;Vereador;13623.29;0;32;6418
MT;NOVA XAVANTINA;Prefeito;267889.3;0;150;15010
MT;NOVA XAVANTINA;Vereador;38175.28;0;75;15010
MT;NOVO HORIZONTE DO NORTE;Prefeito;108039.06;0;31;3146
MT;NOVO HORIZONTE DO NORTE;Vereador;10803.91;0;16;3146
MT;NOVO MUNDO;Prefeito;108039.06;0;52;5170
MT;NOVO MUNDO;Vereador;10803.91;0;26;5170
MT;NOVO SANTO ANTÔNIO;Prefeito;108039.06;0;17;1740
MT;NOVO SANTO ANTÔNIO;Vereador;10803.91;0;9;1740
MT;NOVO SÃO JOAQUIM;Prefeito;143723.08;0;51;5094
MT;NOVO SÃO JOAQUIM;Vereador;10803.91;0;26;5094
MT;PARANATINGA;Prefeito;297519.94;0;145;14460
MT;PARANATINGA;Vereador;22403.27;0;73;14460
MT;PARANAÍTA;Prefeito;280305.95;0;86;8626
MT;PARANAÍTA;Vereador;18830.41;0;43;8626
MT;PEDRA PRETA;Prefeito;108039.06;0;128;12845
MT;PEDRA PRETA;Vereador;29292.61;0;64;12845
MT;PEIXOTO DE AZEVEDO;Prefeito;168127.47;0;192;19218
MT;PEIXOTO DE AZEVEDO;Vereador;13865.77;0;96;19218
MT;PLANALTO DA SERRA;Prefeito;108039.06;0;22;2248
MT;PLANALTO DA SERRA;Vereador;10803.91;0;11;2248
MT;POCONÉ;Prefeito;218803.76;0;223;22336
MT;POCONÉ;Vereador;13631.79;0;112;22336
MT;PONTAL DO ARAGUAIA;Prefeito;108039.06;0;50;4978
MT;PONTAL DO ARAGUAIA;Vereador;10803.91;0;25;4978
MT;PONTE BRANCA;Prefeito;108039.06;0;18;1796
MT;PONTE BRANCA;Vereador;10803.91;0;9;1796
MT;PONTES E LACERDA;Prefeito;517344.11;0;276;27621
MT;PONTES E LACERDA;Vereador;72066.98;0;138;27621
MT;PORTO ALEGRE DO NORTE;Prefeito;108039.06;0;73;7325
MT;PORTO ALEGRE DO NORTE;Vereador;10803.91;0;37;7325
MT;PORTO DOS GAÚCHOS;Prefeito;205324.47;0;42;4151
MT;PORTO DOS GAÚCHOS;Vereador;10803.91;0;21;4151
MT;PORTO ESPERIDIÃO;Prefeito;108039.06;0;81;8139
MT;PORTO ESPERIDIÃO;Vereador;10803.91;0;41;8139
MT;PORTO ESTRELA;Prefeito;108039.06;0;32;3230
MT;PORTO ESTRELA;Vereador;10803.91;0;16;3230
MT;POXORÉU;Prefeito;293152.6;0;136;13580
MT;POXORÉU;Vereador;44864.52;0;68;13580
MT;PRIMAVERA DO LESTE;Prefeito;1929318.82;0;308;38073
MT;PRIMAVERA DO LESTE;Vereador;89521.9;0;154;38073
MT;QUERÊNCIA;Prefeito;733683.42;0;113;11321
MT;QUERÊNCIA;Vereador;46928;0;57;11321
MT;RESERVA DO CABAÇAL;Prefeito;108039.06;0;21;2097
MT;RESERVA DO CABAÇAL;Vereador;10803.91;0;11;2097
MT;RIBEIRÃO CASCALHEIRA;Prefeito;192469.7;0;66;6624
MT;RIBEIRÃO CASCALHEIRA;Vereador;15107.26;0;33;6624
MT;RIBEIRÃOZINHO;Prefeito;108039.06;0;19;1881
MT;RIBEIRÃOZINHO;Vereador;10803.91;0;10;1881
MT;RIO BRANCO;Prefeito;108039.06;0;42;4213
MT;RIO BRANCO;Vereador;10803.91;0;21;4213
MT;RONDOLÂNDIA;Prefeito;108039.06;0;26;2603
MT;RONDOLÂNDIA;Vereador;10803.91;0;13;2603
MT;RONDONÓPOLIS;Prefeito;2567112.04;0;415;145044
MT;RONDONÓPOLIS;Vereador;93377.07;0;192;145044
MT;ROSÁRIO OESTE;Prefeito;297568.99;0;121;12138
MT;ROSÁRIO OESTE;Vereador;40717.38;0;61;12138
MT;SALTO DO CÉU;Prefeito;108039.06;0;30;2984
MT;SALTO DO CÉU;Vereador;10803.91;0;15;2984
MT;SANTA CARMEM;Prefeito;159648.08;0;34;3399
MT;SANTA CARMEM;Vereador;10803.91;0;17;3399
MT;SANTA CRUZ DO XINGU;Prefeito;108039.06;0;16;1600
MT;SANTA CRUZ DO XINGU;Vereador;10803.91;0;8;1600
MT;SANTA RITA DO TRIVELATO;Prefeito;108039.06;0;21;2135
MT;SANTA RITA DO TRIVELATO;Vereador;10803.91;0;11;2135
MT;SANTA TEREZINHA;Prefeito;108039.06;0;50;4988
MT;SANTA TEREZINHA;Vereador;10803.91;0;25;4988
MT;SANTO AFONSO;Prefeito;136692.05;0;25;2511
MT;SANTO AFONSO;Vereador;10803.91;0;13;2511
MT;SANTO ANTÔNIO DO LESTE;Prefeito;216963.43;0;24;2425
MT;SANTO ANTÔNIO DO LESTE;Vereador;18880.05;0;12;2425
MT;SANTO ANTÔNIO DO LEVERGER;Prefeito;685571.38;0;149;14863
MT;SANTO ANTÔNIO DO LEVERGER;Vereador;28342.2;0;75;14863
MT;SAPEZAL;Prefeito;108039.06;0;136;13582
MT;SAPEZAL;Vereador;41174.77;0;68;13582
MT;SERRA NOVA DOURADA;Prefeito;108039.06;0;14;1426
MT;SERRA NOVA DOURADA;Vereador;10803.91;0;7;1426
MT;SINOP;Prefeito;1073025.71;0;358;88087
MT;SINOP;Vereador;102738.43;0;179;88087
MT;SORRISO;Prefeito;730234.11;0;323;52561
MT;SORRISO;Vereador;42373.55;0;162;52561
MT;SÃO FÉLIX DO ARAGUAIA;Prefeito;144415.12;0;69;6867
MT;SÃO FÉLIX DO ARAGUAIA;Vereador;16224.88;0;35;6867
MT;SÃO JOSÉ DO POVO;Prefeito;108039.06;0;30;2958
MT;SÃO JOSÉ DO POVO;Vereador;17328.96;0;15;2958
MT;SÃO JOSÉ DO RIO CLARO;Prefeito;195239.05;0;112;11211
MT;SÃO JOSÉ DO RIO CLARO;Vereador;30549.89;0;56;11211
MT;SÃO JOSÉ DO XINGU;Prefeito;169693.17;0;44;4440
MT;SÃO JOSÉ DO XINGU;Vereador;10803.91;0;22;4440
MT;SÃO JOSÉ DOS QUATRO MARCOS;Prefeito;134920.93;0;144;14388
MT;SÃO JOSÉ DOS QUATRO MARCOS;Vereador;10803.91;0;72;14388
MT;SÃO PEDRO DA CIPA;Prefeito;108039.06;0;34;3437
MT;SÃO PEDRO DA CIPA;Vereador;10803.91;0;17;3437
MT;TABAPORÃ;Prefeito;192187.03;0;68;6829
MT;TABAPORÃ;Vereador;19486.79;0;34;6829
MT;TANGARÁ DA SERRA;Prefeito;279015.72;0;334;64028
MT;TANGARÁ DA SERRA;Vereador;45497.25;0;167;64028
MT;TAPURAH;Prefeito;321241.84;0;77;7744
MT;TAPURAH;Vereador;10803.91;0;39;7744
MT;TERRA NOVA DO NORTE;Prefeito;108039.06;0;88;8833
MT;TERRA NOVA DO NORTE;Vereador;16268.55;0;44;8833
MT;TESOURO;Prefeito;108039.06;0;27;2744
